len,ID,Date,Source,Likes,RTs,SA,Text,location
142,brandonsblog,2018-03-12,Twitter for iPhone,0,9,0,b'RT @airwayslive: Bangladeshi #Bombardier #Q400 Crashes in #Nepal with 67 Passengers On Board \nhttps://t.co/csbQcA456H https://t.co/ujNbU557\xe2\x80\xa6',"Seattle, WA"
142,Brandysull,2018-03-12,Twitter for iPhone,0,12,0,b'RT @airwaysmagazine: Bangladeshi #Bombardier #Q400 Crashes in #Nepal with 67 Passengers On Board \nhttps://t.co/gSsUVKP5Pl https://t.co/YXDS\xe2\x80\xa6',Jamaica
142,SwitchingTmprly,2018-03-12,Twitter Web Client,0,9,0,b'RT @airwayslive: Bangladeshi #Bombardier #Q400 Crashes in #Nepal with 67 Passengers On Board \nhttps://t.co/csbQcA456H https://t.co/ujNbU557\xe2\x80\xa6',Irgendwo wo mich keiner kennt
124,airwayslive,2018-03-12,Twitter for iPhone,6,9,0,b'Bangladeshi #Bombardier #Q400 Crashes in #Nepal with 67 Passengers On Board \nhttps://t.co/csbQcA456H https://t.co/ujNbU557jV',"Miami, FL"
142,pulsenepal,2018-03-12,PulseNepal,0,12,0,b'RT @airwaysmagazine: Bangladeshi #Bombardier #Q400 Crashes in #Nepal with 67 Passengers On Board \nhttps://t.co/gSsUVKP5Pl https://t.co/YXDS\xe2\x80\xa6',Nepal
124,airwaysmagazine,2018-03-12,Twitter for iPhone,14,12,0,b'Bangladeshi #Bombardier #Q400 Crashes in #Nepal with 67 Passengers On Board \nhttps://t.co/gSsUVKP5Pl https://t.co/YXDSe3M3u8',Your local newsstand
138,jet__driver,2018-03-12,Twitter for iPhone,0,0,-1,b'#Bombardier #Q400 crashes enroute to Nepal - at least 50 dead. Aviation is receiving the one-two punch these days. https://t.co/wkJDgTSN2D',"Nevada, USA"
142,CarloDedoni,2018-03-12,TweetDeck,0,1,0,b'RT @AvioMediaNet: Breaking news: #USBangla #airlines #Q400 crashed in #KathmanduAirport. #avgeek #plane #crash #accident \nhttps://t.co/Q2LL\xe2\x80\xa6',"Sardegna, Italia"
127,AvioMediaNet,2018-03-12,TweetDeck,2,1,0,b'Breaking news: #USBangla #airlines #Q400 crashed in #KathmanduAirport. #avgeek #plane #crash #accident \nhttps://t.co/Q2LL6Ql3JW',"Cagliari, Sardegna"
78,jboyejacob,2018-03-12,Twitter for Android,0,0,0,b'@pzstha @adamwithnall It is @bombardier #q400 or colloquially known as dash 8.',All over the place
141,bigskythinking,2018-03-12,Twitter Lite,1,0,1,b'#Bombardier #Q400 has a fairly good safety record. Last disaster was in PNG 2011. Before that Colgan #3407 stalled\xe2\x80\xa6 https://t.co/UZgphrJNyi',"Citizen of the World, lucky to call North East England home."
48,akbars600,2018-03-12,Twitter for Android,0,0,0,b'@richapintoTOI #USBangla Airways #Q400 turboprop',Mumbai
141,Scumezza,2018-03-12,Twitter for iPad,0,3,0,b'RT @zs_mk: @flySAExpress #Q400 head Shot @capetownint #photographer #photo #photography #avgeek #aviation #capetown #capetownmag follow on\xe2\x80\xa6',South Africa
141,ziytel,2018-03-12,Twitter for Android,0,3,0,b'RT @zs_mk: @flySAExpress #Q400 head Shot @capetownint #photographer #photo #photography #avgeek #aviation #capetown #capetownmag follow on\xe2\x80\xa6',Cape Town:)))
131,zs_mk,2018-03-12,Twitter for iPhone,4,3,0,b'@flySAExpress #Q400 head Shot @capetownint #photographer #photo #photography #avgeek #aviation #capetown\xe2\x80\xa6 https://t.co/xc1wKOC5aL',"Cape Town, South Africa"
135,Karma_Paljor,2018-03-11,Twitter for iPhone,6,3,1,b'@flyspicejet #q400 takes off from #PakyongAirport in #Sikkim. This is surely going to be destination airport\xe2\x80\xa6 https://t.co/r170qhhdRH',New Delhi
143,Anuragrby,2018-03-10,Twitter for Android,0,6,0,b'RT @manojsirsa: Historical Day !  @flyspicejet @Bombardier #Q400\xc2\xa078 seater aircraft makes historic landing at Pakyong Airport https://t.co/\xe2\x80\xa6',"Lucknow, Uttar Pradesh"
143,samarjeet_n,2018-03-10,Twitter for Android,0,6,0,b'RT @manojsirsa: Historical Day !  @flyspicejet @Bombardier #Q400\xc2\xa078 seater aircraft makes historic landing at Pakyong Airport https://t.co/\xe2\x80\xa6',"189, Cooperative Colony,Bokaro"
143,n2r3ndr2,2018-03-10,Twitter for Android,0,6,0,b'RT @manojsirsa: Historical Day !  @flyspicejet @Bombardier #Q400\xc2\xa078 seater aircraft makes historic landing at Pakyong Airport https://t.co/\xe2\x80\xa6',"Ahmadabad City, India"
143,bouroux,2018-03-10,Twitter Web Client,0,6,0,b'RT @manojsirsa: Historical Day !  @flyspicejet @Bombardier #Q400\xc2\xa078 seater aircraft makes historic landing at Pakyong Airport https://t.co/\xe2\x80\xa6',Montreal  Canada
143,prayag,2018-03-10,RoundTeam,0,6,0,b'RT @manojsirsa: Historical Day !  @flyspicejet @Bombardier #Q400\xc2\xa078 seater aircraft makes historic landing at Pakyong Airport https://t.co/\xe2\x80\xa6',
141,vasilrambi,2018-03-10,Twitter for iPhone,0,3,1,b'RT @crossley30: When @airiceland drops into a dull foggy @belfastairport but still nice to see the aircraft TF-FXI. As i start my ProjectX\xe2\x80\xa6',"Richmond Hill, Toronto & Montréal"
143,vasilrambi,2018-03-10,Twitter for iPhone,0,6,0,b'RT @manojsirsa: Historical Day !  @flyspicejet @Bombardier #Q400\xc2\xa078 seater aircraft makes historic landing at Pakyong Airport https://t.co/\xe2\x80\xa6',"Richmond Hill, Toronto & Montréal"
137,manojsirsa,2018-03-10,Twitter for Android,6,6,0,b'Historical Day !  @flyspicejet @Bombardier #Q400\xc2\xa078 seater aircraft makes historic landing at Pakyong Airport\xe2\x80\xa6 https://t.co/FlDIbgv4eC',भारत 
142,katieshona,2018-03-10,Twitter for Android,0,3,1,"b'RT @romeojulietgolf: My #wingfriday comes from the mighty Dash whilst climbing out of MAN on Monday, you can just about see the remnants of\xe2\x80\xa6'","Southampton, England"
76,Karma_Paljor,2018-03-10,Twitter for iPhone,1,0,1,b'@flyspicejet #q400 welcome to Sikkim #pakyongairport https://t.co/GjTc6YjzUZ',New Delhi
141,MalvikaKapoor12,2018-03-09,Twitter for Android,0,3,1,b'RT @crossley30: When @airiceland drops into a dull foggy @belfastairport but still nice to see the aircraft TF-FXI. As i start my ProjectX\xe2\x80\xa6',Mumbai  India 🛬🛬🛬
141,PlaneSpotIsCool,2018-03-09,PlaneSpotterRetweet,0,3,1,b'RT @crossley30: When @airiceland drops into a dull foggy @belfastairport but still nice to see the aircraft TF-FXI. As i start my ProjectX\xe2\x80\xa6',Worldwide
142,crossley30,2018-03-09,Twitter Web Client,3,3,1,b'When @airiceland drops into a dull foggy @belfastairport but still nice to see the aircraft TF-FXI. As i start my P\xe2\x80\xa6 https://t.co/PshvvYnGG3',Leeds
142,promderby2,2018-03-09,Twitter Web Client,0,3,1,"b'RT @romeojulietgolf: My #wingfriday comes from the mighty Dash whilst climbing out of MAN on Monday, you can just about see the remnants of\xe2\x80\xa6'",
142,KenZeroHarm,2018-03-09,Twitter for iPhone,0,3,1,"b'RT @romeojulietgolf: My #wingfriday comes from the mighty Dash whilst climbing out of MAN on Monday, you can just about see the remnants of\xe2\x80\xa6'",
142,romeojulietgolf,2018-03-09,Twitter for iPhone,6,3,1,"b'My #wingfriday comes from the mighty Dash whilst climbing out of MAN on Monday, you can just about see the remnants\xe2\x80\xa6 https://t.co/wPXy6XV1j0'","Portsmouth, England"
