SN,Aarrival City,Airline,Arrival,Current Date,Departure,Departure City,Ticket Price,Travel Date
0,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,296,1/26/2018
1,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,331,1/26/2018
2,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,331,1/26/2018
3,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,348,1/26/2018
4,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,348,1/26/2018
5,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,348,1/26/2018
6,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,348,1/26/2018
7,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,348,1/26/2018
8,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,368,1/26/2018
9,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,368,1/26/2018
10,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,368,1/26/2018
11,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,371,1/26/2018
12,AUS,Delta,Austin,1/16/2018,ABQ,Albuquerque,405,1/26/2018
13,AUS,Alaska Airlines,Austin,1/16/2018,ABQ,Albuquerque,413,1/26/2018
14,AUS,,Austin,1/16/2018,ABQ,Albuquerque,420,1/26/2018
15,AUS,Alaska Airlines,Austin,1/16/2018,ABQ,Albuquerque,444.6,1/26/2018
16,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,451,1/26/2018
17,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,611,1/26/2018
18,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,611,1/26/2018
19,AUS,,Austin,1/16/2018,ABQ,Albuquerque,947.2,1/26/2018
0,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,48.3,1/26/2018
1,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,48.3,1/26/2018
2,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,48.3,1/26/2018
3,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,48.3,1/26/2018
4,DEN,Frontier Airlines,Denver,1/16/2018,ABQ,Albuquerque,48.3,1/26/2018
5,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,73,1/26/2018
6,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,97,1/26/2018
7,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,97,1/26/2018
8,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,97,1/26/2018
9,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,129,1/26/2018
10,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,129,1/26/2018
11,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,129,1/26/2018
12,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,129,1/26/2018
13,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,259.6,1/26/2018
14,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,259.6,1/26/2018
15,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,365,1/26/2018
16,DEN,,Denver,1/16/2018,ABQ,Albuquerque,752.8,1/26/2018
0,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,190,1/26/2018
1,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,190,1/26/2018
2,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,190,1/26/2018
3,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,190,1/26/2018
4,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,190,1/26/2018
5,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,191.4,1/26/2018
6,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,191.4,1/26/2018
7,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,191.4,1/26/2018
8,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,191.4,1/26/2018
9,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,199.8,1/26/2018
10,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,199.8,1/26/2018
11,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,199.8,1/26/2018
12,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,208,1/26/2018
13,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,208,1/26/2018
14,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,230,1/26/2018
15,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,230,1/26/2018
16,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,230,1/26/2018
17,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,240,1/26/2018
18,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,250,1/26/2018
19,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,270,1/26/2018
20,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,282,1/26/2018
21,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,288.4,1/26/2018
22,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,290.4,1/26/2018
23,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,290.4,1/26/2018
24,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,290.4,1/26/2018
25,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,290.4,1/26/2018
26,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,290.4,1/26/2018
27,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,290.4,1/26/2018
28,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,290.4,1/26/2018
29,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,298.4,1/26/2018
30,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,298.4,1/26/2018
31,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,300,1/26/2018
32,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,300,1/26/2018
33,KOA,Hawaiian Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,300,1/26/2018
34,KOA,Mokulele Airlines,Kailua-Kona,1/16/2018,HNL,Honolulu,302,1/26/2018
0,ATL,American Airlines,Atlanta,1/16/2018,ABE,Allentown,315.2,1/26/2018
1,ATL,American Airlines,Atlanta,1/16/2018,ABE,Allentown,319.3,1/26/2018
2,ATL,American Airlines,Atlanta,1/16/2018,ABE,Allentown,320.8,1/26/2018
3,ATL,American Airlines,Atlanta,1/16/2018,ABE,Allentown,320.8,1/26/2018
4,ATL,Delta,Atlanta,1/16/2018,ABE,Allentown,395.3,1/26/2018
5,ATL,American Airlines,Atlanta,1/16/2018,ABE,Allentown,402.5,1/26/2018
6,ATL,American Airlines,Atlanta,1/16/2018,ABE,Allentown,402.5,1/26/2018
7,ATL,Delta,Atlanta,1/16/2018,ABE,Allentown,404,1/26/2018
8,ATL,American Airlines,Atlanta,1/16/2018,ABE,Allentown,404,1/26/2018
9,ATL,Delta,Atlanta,1/16/2018,ABE,Allentown,404,1/26/2018
10,ATL,Delta,Atlanta,1/16/2018,ABE,Allentown,404,1/26/2018
