SN,Aarrival City,Airline,Arrival,Current Date,Departure,Departure City,Ticket Price,Travel Date
0,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,361.2,1/31/2018
1,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,361.2,1/31/2018
2,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,389.2,1/31/2018
3,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,389.2,1/31/2018
4,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,389.2,1/31/2018
5,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,389.2,1/31/2018
6,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,389.2,1/31/2018
7,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,389.2,1/31/2018
8,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,389.2,1/31/2018
9,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,389.2,1/31/2018
10,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,389.2,1/31/2018
11,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,390.6,1/31/2018
12,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,390.6,1/31/2018
13,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
14,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
15,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
16,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
17,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
18,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
19,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
20,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
21,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
22,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
23,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
24,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
25,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
26,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
27,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
28,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
29,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
30,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
31,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
32,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
33,AUS,United,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
34,AUS,American Airlines,Austin,1/16/2018,ABQ,Albuquerque,411,1/31/2018
0,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,48.3,1/31/2018
1,DEN,Frontier Airlines,Denver,1/16/2018,ABQ,Albuquerque,48.3,1/31/2018
2,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,48.3,1/31/2018
3,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,96,1/31/2018
4,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,96,1/31/2018
5,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,96,1/31/2018
6,DEN,Delta,Denver,1/16/2018,ABQ,Albuquerque,96,1/31/2018
7,DEN,United,Denver,1/16/2018,ABQ,Albuquerque,104.3,1/31/2018
8,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,113,1/31/2018
9,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,129,1/31/2018
10,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,143,1/31/2018
11,DEN,American Airlines,Denver,1/16/2018,ABQ,Albuquerque,183,1/31/2018
